,Search_Engine,Search_String,Publisher,Title,Link,Date
0,Google,tata merger,Value Research Online,Tata Mutual Fund Announces Merger of Quant and Flexi Cap Fund,./read/CBMiowFBVV95cUxQUkloaTBJY1lFd1J5WWJvekRqdklsajRvOHN1aW5vWlBVRmE1ekQ0alhKa2xSTkpEM2lBaHJVZUItWG1RT3NBbktoWWpQVDVQMEwxT19lNjNJX2htNnBPNzJsSWdCR2ZLVXJvbWtjMHFseHo2Y2pBT3lmVnpudTdRcGRucUFqb2otRlRxWUx5WWU2SkJBd1lfSFBMQjNMd2ZIVzNv?hl=en-IN&gl=IN&ceid=IN%3Aen,2025-02-11
1,Google,tata merger,Business Standard,"Tata Capital, Tata Motors Finance merger receives RBI's approval",./read/CBMizAFBVV95cUxPUmhaTEhoRHV0cXQwQWVPVFhtLW5QTjZXNGRPNmhEYVNQMl9yeENuRFJFRGdYSFVRQVkyMzFQOUxyNVE2SThISDhSN2U1RVFhSEFFN2lIRFdWN09RUlBYanUzTkhCbjc5c2M3dHgwMHhxTUhrZVNNaUlINURVdFRBaEZuOE1FWk5xLTB0MzBSSFE3TDdHYXZva1ZReXBYY1JhTjNDSThTMWRDdWRMQnd0dUFwbmt4ekU1YVNtY0hxc1BvZkZiY2Rna0Y4NWbSAdIBQVVfeXFMT1lGdkxiUlRkUi1YaGc2X1h6WVBNRXplb2F0dUdwYXNLY3NETXY1RVVfeTgyVURCZ0s1OVBHMzB0WUpIaFhqeTdqRldtdzc3NXlqMXdMbGRxdF9uNWEzSm16YXlTcVhfbHFRTWZNUnRKUHBGbGxlUXpfSTZLU2JzWHhIN1NHMjlVVW5BRTBDbGlnaXNGNzFKd3JZdURacXNrREFtdmczeVgxT1BYZ1NmV2kySHRpeFBjeFNoMG1icnozWURXSnlxTUtyQm1ZTm1zYnV3?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-10-14
2,Google,tata merger,India.com,"Mohini Mohan Dutta: 'Mystery man' of Ratan Tata's will, set to get richer by Rs 500 crore due to...",./read/CBMi4AFBVV95cUxQZDFWaDktTlBFUXgtQjN2MzR1WnJ0M1Y4WUFWUy1mUzBFUFJ3SUJEczF0WElCYnAzeHpPT0pyLUswS3N4YnZuWGJJaWZMTGh3SHlfNE91aUR3LUY5SS1xMHNuMmxUcmMzY3gwb0NlNUhxNFRtaWtUSURXa3ZmZGt2U05keWNNdmpvazBhMVNsS3lKbmNSM2JVSHQ1VlI1d2JNRktral85aWNHb1RtNnNqYjRfRkFjUjhvNGJXOWpqcm5NUV9sT0FkYzV2MHZFS1hPT1hqdzdSQ3ZrU0plUmEtZtIB5gFBVV95cUxPZnNRUVpMVTNYMTBZblZ6b2ZHRXctUzRoYnZhZ0Z4MDNuaElfRmNXel9tRDdDazJfTFdnNl9aSk1HSmNENl9nRzBXdWR3WjlYX05ZSWFubXFlLUlNSkQ0VG0wS0RGeDh0TjdnWDNaR2o5U3NlTzBrU0xvREVQZi1aV2tHa21yb1FBU2NCOEpvblNPSk9ucnlyWDlzZDZLUVA1MGpDQm1LYXdZUW5ZMHZFRzRGR2xQRndJQnpKc0ZDWjRjLW5uZEFCeUx5aEtVbjV5NDFWZXJ2akw3SDNGWjVvNGRKZm16UQ?hl=en-IN&gl=IN&ceid=IN%3Aen,2025-02-10
3,Google,tata merger,The Ken,"Tata Tech, just merge with Tata Elxsi",./read/CBMicEFVX3lxTE5qQkktdmlvTmJ2Z1NITG1IU2lIaXpVTjk3aXZTeXppVzdsbjE3SjYxU0RwczAzby1Gc2pfZ0E3ZlI2M1hYT1g5eXAwdC1nWHlRdHY4TmxFX2hjVEk2akx5SHdIV2hmWkhDX1gwU09pNlU?hl=en-IN&gl=IN&ceid=IN%3Aen,2025-01-31
4,Google,tata merger,Upstox,How are Tata Group companies linked? Why Tata Capital’s IPO could unlock value across conglomerate,./read/CBMi_AFBVV95cUxNcTBSYk1zMGs4NjZtaUlhSjBnUmgySGJ2ZlYxMDkzSUFYTTY0S3pvVGpLLThLVHRZVjJ1UXJqeTJzdENKUGh3UFdsTlFJd1VNdVZISDFOcnNSMGc5WHQyUjdHeDktcDQ3bG94YS1nNDVhMDRTdGp6UVdtQ01hYUdfNFhjaGlMajBnVzRnQlFwVXZ6blh4VWhGQzVrWS1RQzZmZDNLdklZb1lKbnRqUXh4bGJtSzJyUkRKUGh4OUNQSGxSZlRRTC1OZEhNcTh2cHlLdHpwbXd0THp4c2pqSS1iTk52M19acEhrUmFoWlRBYjJBejljUjlNcWVfQjc?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-12-24
5,Google,tata merger,The Economic Times,NCLT asks two Tata NBFCs to seek merger nod from stakeholders,./read/CBMi4gFBVV95cUxQMFBUM0x2dkdDYjJBWHdlb3lCOG9ieWpEU0N1QlNLWTFNMFQtTUV2ZTYwbE9UdG9LR0NyZmZtNVdRSkJkdUFTbkxsekpXa212SEs3SUhlV1B1TE84TzgtekNEdXhpSGx1YUVzVGNrNVhCSzY5Um5vbklfQlZlSUtLRHlIS19NMHZzYzdXWHY3RFFXNmpCXzVveWVVSUxMR0VPQXdjMXA3eHFKMGFDV0tqSjl5VWY2dmlGU0tqcDJ0Qko5WDNhSmxmVngyRFFEZnB4ZzRsZzFfdWl2eERBT01rYl9B0gHnAUFVX3lxTE9IMFRROEVwLVQ0RmJpM2lLNUIyaTFBT1BGeXBYSWVEbENoWkttS1lqc0tlb0RnYjh6UFVHVTlpWmRMQV96TV9RQWoxbWtIb3BvYjlTNGRpTTc1NnZYX0VyRTNyR0o1UE9XaXJwN1ZQU0QwVjd6bUpKTHNHWlhmbHF5dkV6V1NkV3hfMjNFeEVjU0NRaEtlandseEFyMWxCbjFDQm1FUk1pd1JTRGNsMDdoV3I3ak1CMy1OOGxfZ055T1Z2cmZMMTdzd3hVVWdzeDEwdFA3YU13RkxtZFlfdS11dmh0NTdQWQ?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-12-07
6,Google,tata merger,Skift Travel News,Air India-Vistara Merger: Strategic Win or Tata’s Gamble?,./read/CBMijAFBVV95cUxQc1FHajJWRDNEVGd2NnpZeFFKYjlFS25jbElFeUdwa3Vfa3Y2Q1VMNmQyVWtDUmJWYUFLdGRCNzgybjh6UFF6RkphSlQxZDRvMkJUTEhzTC1yYkp1ZG1NNGtoMEhueF9OeC0tTF9VbDQxWTB5dkJEUnh4SFRKWGFiM0VkUEhHckw1NHhMUQ?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-09-17
7,Google,tata merger,CNBCTV18,Tata Sons & Singapore Airlines celebrate Vistara’s merger with Air India,./read/CBMiwwFBVV95cUxPNEY1QmlrWkp4T01NeV9fMmJfaHVQWHFPZURpM2lCelhISUs3OUU1T3RUS1RuSUpjT1JCaXl5bDByWWp5WmtNSUctdjVCUFUyMmRrX3gtNEpWLWE0TUxDYU92anlmb0YzTU04dXlablp3WEFja0x2X0VSX1p2enF6YTdJSER1VWxvRUF6UmdYdTNIZXdNMVBwek5tT2dCb3hIUUVQRG5xXzhjdGxVQkFmMWIwT2E5RVBMRDlQS0xlSXhKSnfSAcgBQVVfeXFMTnZjZ2J1Z0tXWnBlcEZPU2lSSDRoODNRd1d4czZFd05zc1ZKa0NYZUZVNlp1QVE4NlN2YmN1NlBSVmhlNHp3emxocHp2OVRkSzJvSU9aMHZsTEpWamtERW1xa0VXMlVxS2VUSTdzOTVwZlg4U3R4VVN3UExnM2pjcDdvalF0ZWMyVkJkMVBoR3VkUm0wVWZGMXRvaUhESlhJeDk3ci1JWVotWWNmdGtDUjVUQVhqRUx6QW0tYlZ4UFhUM0xyUEtOdHg?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-11-18
8,Google,tata merger,Mint,Air India-Vistara merger completed: Tata-group airline becomes India’s largest international carrier; here’s how,./read/CBMiigJBVV95cUxNY1BFSzQwX3FrZFVaY25FSHVUTV9vai01dUF0T2VTN0FHM2tTclBLaElnWWt6Y2h2SHo2WmRIRE1QY29zVGhkMkJlU19DV0ZIX1Q0Z2hyc2I1akdWd19zbVFXSlM5MTl2TEJsUDU3RFlSYzNWc0xBa1ZlbVdIM2V6Q25tNjdId1NFWGlxc0ZXQzJ5b1pZSUg4RDVkV3ZjNDkxU0pfWUd2bzVzSVR4WDNYbmFyQ2FkRC1weGg2WVFZcWVBN0dQR3NnSnhTWDdBLUR1VmczVTZNT0FIUm9qQl8zcF9ZQTh2aHFIU0N6aVpLT0xtM2xELV9tSGp3NWlFMGZ2eHVOYkNtdHpQQdIBjwJBVV95cUxNcnJkbnJ3MDd2UjVqejZPYUU5Z21wWTJOeFY5d3ZLLXctQWVRLUI4MXlLdEI5UURoOUdFUEphRDZ1QjlPQllKZVVnRHptOWV4UGJRLTdKZE9Veks5Y2Y1UnlzQnBSeXA3R3lzc2hmbG05SUJDcDhKS2VLMXZBcmd1TGNYQldnUDF3S3ExcnduNVdDV0hfdVF0SVBlc1lsRDIwb2NPbXV2Qk1UYzBjVXVFRjhlbFhQTmI2bVlLY2haRVI4ZEdBbVJ1VXg5ejBpSm9ZRW4yZ0hrXzBVcXRUOWhDOXNoeFR5eXVxUzZwaVctdzE4UDVhekJTV2RMRjVfOXEtV2JOdXZpWUhKYjZsZ2Mw?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-11-12
9,Google,tata merger,BusinessLine,"Merger with Tata Motors Finance will broaden Tata Capital’s product portfolio, says Fitch",./read/CBMi6gFBVV95cUxPek15M1BQSHNKYl82YjkxS0ZpUzZNQ01SdmlwQ3BWdElpZkxvMkJYS3MySnVEM0l3N3ZTQnBxc1Q3Z3hoQXdSRjFpeUhwLUl3UkhmV185QlB2eDM1VGVjc2psVmhyTzVEbUZzM00wbk9WZTFDT3Iya3BCczRzYXVsakNIel9KZEtKZVNaZlpEekJxZTlyWFU4a1g0UGhRR2xja0x3MlE2blV6Z3FKY3NybmoxS0xEenMzdVpwVWNJT1g1eWJFY1FxV0Mxb3dlNjk1eTN2aklCY29uTk9nclg4bjlmTTdTMHJvLXfSAfABQVVfeXFMUFYyZ3d3dllUQVhkdXBaYWQ2ZFFXSHVER1ROZGN4NGJCREotTklDVzlPSHFsUmJITEd4ai1lMEZNU05zcWlWRFFrelNqb1BUTGlCUWU0V1hkQy1uZTVsaU1nOG9HdU9YT25DdTZyQzRPT090RnJLbkJ1SHZ2eldrVnNVaWx5SzZGVkVhcjlDZVhWU2pNSUM4bUFWU2xQbGZUN0twTm9tUlRZT3B1Yk9XUTRQZGZvcnJESThnSnByN1EyRG9mTnMtNW9RRDhLX3dFU1dYSGFicGM5QVV1MndxdjJSZ3RpS3FDOUwzWmJiclF0?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-06-24
