Search_Engine,Search_String,Publisher,Title,Link,Date
Google,tata merger,The Economic Times,Tata Mutual Fund approves merger of quant fund and flexi cap fund,./read/CBMiygFBVV95cUxPSWFuNVRPYVZVMWJwNXQ4N0tZMUs1anRjSHJXdTNUaFZjTlo0WllBUlpDaGN2QVRHQ19SV0cwbGpIZGFjRnlhaG9xUnBaRjhLWlZfYTdCSmFLaXZhVHVkYUVqNmNHVG1Jd1lJTS1KeF9oYzBKOUM5UGd4cTVUd2NVM3RHQm1FOHp0d3BVSk9vVEZxQ3hrUzMzUVJVTC02NnZHcXZ6WkNJcHZXeWw2NlViUHdOcUFwMlEyY0plNDBDOVZ6eEM0emxnWmtB0gHPAUFVX3lxTE13VFlmM0JBUktSS2hLYl9NUGE4TnZqRFpXZDhqaE5laTc2bXprVHczVUZ1QWNGeVVwMG1XWl9TY3FKLVFXQlpyaHlySXkyYWgtWXVJRkNMc0VWRkFmd3pWRUR5UlF6YVZKb2VxcHhZWXRSOEFkdjQtbGFScDRzeG5yeXFyVDlDQzlRU2I5eXN3NFBrZHNZVFY3UlFyVV80MzN4U2kyN1NWZFVlSDlyOC10RFVweTVFU21wMlkzajJCR1ROdHF3Y0F2Y3VDM0hXYw?hl=en-IN&gl=IN&ceid=IN%3Aen,2025-02-12
Google,tata merger,Value Research Online,Tata Mutual Fund Announces Merger of Quant and Flexi Cap Fund,./read/CBMiowFBVV95cUxQUkloaTBJY1lFd1J5WWJvekRqdklsajRvOHN1aW5vWlBVRmE1ekQ0alhKa2xSTkpEM2lBaHJVZUItWG1RT3NBbktoWWpQVDVQMEwxT19lNjNJX2htNnBPNzJsSWdCR2ZLVXJvbWtjMHFseHo2Y2pBT3lmVnpudTdRcGRucUFqb2otRlRxWUx5WWU2SkJBd1lfSFBMQjNMd2ZIVzNv?hl=en-IN&gl=IN&ceid=IN%3Aen,2025-02-11
Google,tata merger,Business Standard,"Tata Capital, Tata Motors Finance merger receives RBI's approval",./read/CBMizAFBVV95cUxPUmhaTEhoRHV0cXQwQWVPVFhtLW5QTjZXNGRPNmhEYVNQMl9yeENuRFJFRGdYSFVRQVkyMzFQOUxyNVE2SThISDhSN2U1RVFhSEFFN2lIRFdWN09RUlBYanUzTkhCbjc5c2M3dHgwMHhxTUhrZVNNaUlINURVdFRBaEZuOE1FWk5xLTB0MzBSSFE3TDdHYXZva1ZReXBYY1JhTjNDSThTMWRDdWRMQnd0dUFwbmt4ekU1YVNtY0hxc1BvZkZiY2Rna0Y4NWbSAdIBQVVfeXFMT1lGdkxiUlRkUi1YaGc2X1h6WVBNRXplb2F0dUdwYXNLY3NETXY1RVVfeTgyVURCZ0s1OVBHMzB0WUpIaFhqeTdqRldtdzc3NXlqMXdMbGRxdF9uNWEzSm16YXlTcVhfbHFRTWZNUnRKUHBGbGxlUXpfSTZLU2JzWHhIN1NHMjlVVW5BRTBDbGlnaXNGNzFKd3JZdURacXNrREFtdmczeVgxT1BYZ1NmV2kySHRpeFBjeFNoMG1icnozWURXSnlxTUtyQm1ZTm1zYnV3?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-10-14
Google,tata merger,The Ken,"Tata Tech, just merge with Tata Elxsi",./read/CBMicEFVX3lxTE5qQkktdmlvTmJ2Z1NITG1IU2lIaXpVTjk3aXZTeXppVzdsbjE3SjYxU0RwczAzby1Gc2pfZ0E3ZlI2M1hYT1g5eXAwdC1nWHlRdHY4TmxFX2hjVEk2akx5SHdIV2hmWkhDX1gwU09pNlU?hl=en-IN&gl=IN&ceid=IN%3Aen,2025-01-31
Google,tata merger,Upstox,How are Tata Group companies linked? Why Tata Capital’s IPO could unlock value across conglomerate,./read/CBMi_AFBVV95cUxNcTBSYk1zMGs4NjZtaUlhSjBnUmgySGJ2ZlYxMDkzSUFYTTY0S3pvVGpLLThLVHRZVjJ1UXJqeTJzdENKUGh3UFdsTlFJd1VNdVZISDFOcnNSMGc5WHQyUjdHeDktcDQ3bG94YS1nNDVhMDRTdGp6UVdtQ01hYUdfNFhjaGlMajBnVzRnQlFwVXZ6blh4VWhGQzVrWS1RQzZmZDNLdklZb1lKbnRqUXh4bGJtSzJyUkRKUGh4OUNQSGxSZlRRTC1OZEhNcTh2cHlLdHpwbXd0THp4c2pqSS1iTk52M19acEhrUmFoWlRBYjJBejljUjlNcWVfQjc?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-12-24
Google,tata merger,CNBCTV18,Tata Sons & Singapore Airlines celebrate Vistara’s merger with Air India,./read/CBMiwwFBVV95cUxPNEY1QmlrWkp4T01NeV9fMmJfaHVQWHFPZURpM2lCelhISUs3OUU1T3RUS1RuSUpjT1JCaXl5bDByWWp5WmtNSUctdjVCUFUyMmRrX3gtNEpWLWE0TUxDYU92anlmb0YzTU04dXlablp3WEFja0x2X0VSX1p2enF6YTdJSER1VWxvRUF6UmdYdTNIZXdNMVBwek5tT2dCb3hIUUVQRG5xXzhjdGxVQkFmMWIwT2E5RVBMRDlQS0xlSXhKSnfSAcgBQVVfeXFMTnZjZ2J1Z0tXWnBlcEZPU2lSSDRoODNRd1d4czZFd05zc1ZKa0NYZUZVNlp1QVE4NlN2YmN1NlBSVmhlNHp3emxocHp2OVRkSzJvSU9aMHZsTEpWamtERW1xa0VXMlVxS2VUSTdzOTVwZlg4U3R4VVN3UExnM2pjcDdvalF0ZWMyVkJkMVBoR3VkUm0wVWZGMXRvaUhESlhJeDk3ci1JWVotWWNmdGtDUjVUQVhqRUx6QW0tYlZ4UFhUM0xyUEtOdHg?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-11-18
Google,tata merger,Skift Travel News,Air India-Vistara Merger: Strategic Win or Tata’s Gamble?,./read/CBMijAFBVV95cUxQc1FHajJWRDNEVGd2NnpZeFFKYjlFS25jbElFeUdwa3Vfa3Y2Q1VMNmQyVWtDUmJWYUFLdGRCNzgybjh6UFF6RkphSlQxZDRvMkJUTEhzTC1yYkp1ZG1NNGtoMEhueF9OeC0tTF9VbDQxWTB5dkJEUnh4SFRKWGFiM0VkUEhHckw1NHhMUQ?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-09-17
Google,tata merger,Mint,Air India-Vistara merger completed: Tata-group airline becomes India’s largest international carrier; here’s how,./read/CBMiigJBVV95cUxNY1BFSzQwX3FrZFVaY25FSHVUTV9vai01dUF0T2VTN0FHM2tTclBLaElnWWt6Y2h2SHo2WmRIRE1QY29zVGhkMkJlU19DV0ZIX1Q0Z2hyc2I1akdWd19zbVFXSlM5MTl2TEJsUDU3RFlSYzNWc0xBa1ZlbVdIM2V6Q25tNjdId1NFWGlxc0ZXQzJ5b1pZSUg4RDVkV3ZjNDkxU0pfWUd2bzVzSVR4WDNYbmFyQ2FkRC1weGg2WVFZcWVBN0dQR3NnSnhTWDdBLUR1VmczVTZNT0FIUm9qQl8zcF9ZQTh2aHFIU0N6aVpLT0xtM2xELV9tSGp3NWlFMGZ2eHVOYkNtdHpQQdIBjwJBVV95cUxNcnJkbnJ3MDd2UjVqejZPYUU5Z21wWTJOeFY5d3ZLLXctQWVRLUI4MXlLdEI5UURoOUdFUEphRDZ1QjlPQllKZVVnRHptOWV4UGJRLTdKZE9Veks5Y2Y1UnlzQnBSeXA3R3lzc2hmbG05SUJDcDhKS2VLMXZBcmd1TGNYQldnUDF3S3ExcnduNVdDV0hfdVF0SVBlc1lsRDIwb2NPbXV2Qk1UYzBjVXVFRjhlbFhQTmI2bVlLY2haRVI4ZEdBbVJ1VXg5ejBpSm9ZRW4yZ0hrXzBVcXRUOWhDOXNoeFR5eXVxUzZwaVctdzE4UDVhekJTV2RMRjVfOXEtV2JOdXZpWUhKYjZsZ2Mw?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-11-12
Google,tata merger,BusinessLine,"Merger with Tata Motors Finance will broaden Tata Capital’s product portfolio, says Fitch",./read/CBMi6gFBVV95cUxPek15M1BQSHNKYl82YjkxS0ZpUzZNQ01SdmlwQ3BWdElpZkxvMkJYS3MySnVEM0l3N3ZTQnBxc1Q3Z3hoQXdSRjFpeUhwLUl3UkhmV185QlB2eDM1VGVjc2psVmhyTzVEbUZzM00wbk9WZTFDT3Iya3BCczRzYXVsakNIel9KZEtKZVNaZlpEekJxZTlyWFU4a1g0UGhRR2xja0x3MlE2blV6Z3FKY3NybmoxS0xEenMzdVpwVWNJT1g1eWJFY1FxV0Mxb3dlNjk1eTN2aklCY29uTk9nclg4bjlmTTdTMHJvLXfSAfABQVVfeXFMUFYyZ3d3dllUQVhkdXBaYWQ2ZFFXSHVER1ROZGN4NGJCREotTklDVzlPSHFsUmJITEd4ai1lMEZNU05zcWlWRFFrelNqb1BUTGlCUWU0V1hkQy1uZTVsaU1nOG9HdU9YT25DdTZyQzRPT090RnJLbkJ1SHZ2eldrVnNVaWx5SzZGVkVhcjlDZVhWU2pNSUM4bUFWU2xQbGZUN0twTm9tUlRZT3B1Yk9XUTRQZGZvcnJESThnSnByN1EyRG9mTnMtNW9RRDhLX3dFU1dYSGFicGM5QVV1MndxdjJSZ3RpS3FDOUwzWmJiclF0?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-06-24
Google,tata merger,The Times of India,"Vistara merger done, Singapore Airlines now 25.1% stakeholder in Tata's Air India",./read/CBMi9wFBVV95cUxPRFpVbkhaald2WnliT1U5cEJxVXBCTzRJcDAwYTdxSFkyQlRpWGJieTNyMVNndWwtT2w0M1RhQTN2UXh2V3V3Nm54R2w1OGU2M01jaGRoTHh2bkpzVExYQ0xKWHNUSVhRUll4eUVpbmlFR3pOZkNoS0JrQW04ZnBSaDNCTmJfbGpQdDRqcDhseE9MbzlQMGVnNXFuNUEzcGUzVWc0Qi1QV1A5NEYyQWFGdlExYUt5YjNaUUZTNm95SkJIbHBCR3J1Sm5CUG1jUFJUSWhCazU2Y1JmcnBQZGNEWDdJeDBwcFJEZHh6UG1Edkx4TVplLXY40gH8AUFVX3lxTE5vaUo3ZlZlX2ZFRmVMc0NjZWtmdVBvQUsxSVZlNHZzdElZN3lHUTRzNld3QlRRZWhfTl9KQ25pa1ItdU5lRms5dk5kX21ZTmhkYVQ2UVdyZm9FM0lwcWhPVk5Pb0hQbXZyUUc0RWJtdFViR2xsamtBTVM5S0Jkc1hLRjYxV3pLS1JDV3JGeVZfSElSOUozRkY3ZXh3RGxHUk5lSnJ1cHV5UzdzS09iTC1GZWlZcW85NXlTc0hMZlp2OE9ScVdna3lCT2VmZk0xb1JMcVFienJXejJINUhaOTdCSWozS1lNOVlPVHB4SlFBVTBZRzdsTDdLNW9zcg?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-11-12
