Email,CIN,Mobile Number,PAN,Date,Website
compliance.officer@bharti.in,L74899HR1995PLC095967,01146666100,AAACB2894G,07/07/1995,www.airtel.com
inv_rel@tatamotors.com,U72400TG2017PLC117649,02266658282,AAACT2727Q,01/04/2021,www.tatamotors.com
,U32039HR1985PLC032091,53828810661,,31/03/2022,
,U64201DL1997PLC091001,,,31/08/2022,
,U74899DL1995PLC067527,,,01/09/1945,
,U32204DL2008PLC183976,,,01/04/2021,
,U92200DL2006PLC156075,,,31/03/2022,
,U65100DL2010PLC201058,,,31/08/2022,
,U64200HR2009PLC096372,,,,
,U72200DL2013PLC254747,,,,
,U74140HR2015PLC096027,,,,
,U64200HR2021PLC093754,,,,
,U93000HR2010PLC094599,,,,
,L28920MH1945PLC004520,,,,
,U74999MH2018PTC307859,,,,
,U72100MH1972PLC015561,,,,
,U50300MH1997PLC149349,,,,
,U65923MH2006PLC162503,,,,
,U72200PN1994PLC013313,,,,
,U34101MH2006PLC164771,,,,
,U29309MH2019PLC328152,,,,
,U72900MH2020PLC339230,,,,
,U45200MH1989PLC050444,,,,
,U34200MH2012FLC237194,,,,
,U34102TZ2016PTC027770,,,,
,U50500MH2021PLC361754,,,,
,U34100MH2021PLC373648,,,,
,U65910MH1992PLC187184,,,,
,L35911GA1980PLC000400,,,,
,U85110KA1998PTC024588,,,,
,U29120MP1995PLC009773,,,,
,U34100PN1995PLC158999,,,,
,U34101PN1993PTC190262,,,,
,U28900PN1997PTC130940,,,,
,U93000KA2008PLC046588,,,,
,U74900KA2015PTC080558,,,,
